sim	job_index	train_index	job_label	train_label	job_text	train_text
1.0	42	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	42	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	42	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	42	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	42	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	42	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	42	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446228.cc2a65c	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
1.0	619	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	619	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	619	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	619	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	619	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	619	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	619	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447820.ccfbd6e	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
1.0	1566	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	1566	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	1566	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	1566	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	1566	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	1566	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	1566	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448660.cd56d42	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
1.0	1687	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	1687	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	1687	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	1687	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	1687	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	1687	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	1687	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448500.cd45bb4	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
1.0	1993	182	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759450767.ce50c69
1.0	1993	661	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759444318.cafc721
1.0	1993	972	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759456297.d0b981c
1.0	1993	1128	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759443208.ca10dcc
1.0	1993	1629	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759446252.cc2aba5
1.0	1993	1886	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759447015.cc97b7f
1.0	1993	1942	left	left	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759445597.cbcfece	Désolé Désolé Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7 Une erreur est survenue ! Nous mettons tout en œuvre pour rétablir le service dans les meilleurs délais. Code d'erreur : 0.15891402.1759448637.cd54da7
0.978	57	1361	left	left	Le Parcours dans les arbres Tous ceux qui aiment les sensations fortes pourront découvrir un parcours aérien permettant de se déplacer d'arbre en arbre à plusieurs mètres de hauteur. Échelles, ponts de singe, tyroliennes, filets, rien ne manque pour se faire peur en toute sécurité, le parcours se faisant sous la surveillance de moniteurs diplômés. (Parcours soumis à des conditions de taille et d'â	Le Parcours dans les arbres Tous ceux qui aiment les sensations fortes pourront découvrir un parcours aérien permettant de se déplacer d'arbre en arbre à plusieurs mètres de hauteur. Échelles, ponts de singe, tyroliennes, filets, rien ne manque pour se faire peur en toute sécurité, le parcours se faisant sous la surveillance de moniteurs diplômés. (Parcours soumis à des conditions de taille et d'â
0.9693	1167	963	left	left	Les librairies - La grande librairie du château : plus de 1 500 titres différents, livres de poche, documents, témoignages, histoire du mouvement ouvrier, romans - La Cité du roman ; des romans, récents ou classiques, par thème ou par pays - La librairie de la Cité des sciences - La librairie de la Cité politique : toutes les publications de Lutte ouvrière - Les livres d’occasion : sous les pavés,	Les librairies - La grande Librairie du château : plus de 1 500 titres différents, livres de poche, documents, témoignages, histoire du mouvement ouvrier, romans - La cité du Roman : des romans, récents ou classiques, par thème ou par pays - La librairie de la cité des Sciences - La librairie de la Cité politique : toutes les publications de LO - Les livres d'occasion : Sous les pavés, les pages -
